osu file format v14

[General]
AudioFilename: Oraoraora.mp3
AudioLeadIn: 0
PreviewTime: 74822
Countdown: 0
SampleSet: Normal
StackLeniency: 0.7
Mode: 3
LetterboxInBreaks: 0
SpecialStyle: 0
WidescreenStoryboard: 1

[Editor]
DistanceSpacing: 1.1
BeatDivisor: 4
GridSize: 16
TimelineZoom: 1.3

[Metadata]
Title:Hydria's MDx2v2
TitleUnicode:???? ??????~end of THE WORLD~
Artist:JO*STARS ~TOMMY, Coda, JIN~
ArtistUnicode:JO*STARS ~TOMMY, Coda, JIN~
Creator:Hydria
Version:JO*STARS ~TOMMY, Coda, JIN~ - JoJo Sono Chi no Kikou ~end of THE WORLD~
Source:
Tags:???? ?????? marathon
BeatmapID:749695
BeatmapSetID:338811

[Difficulty]
HPDrainRate:7
CircleSize:4
OverallDifficulty:8
ApproachRate:5
SliderMultiplier:1.4
SliderTickRate:1

[Events]
//Background and Video events
0,0,"bg.png",0,0
//Break Periods
//Storyboard Layer 0 (Background)
//Storyboard Layer 1 (Fail)
//Storyboard Layer 2 (Pass)
//Storyboard Layer 3 (Foreground)
//Storyboard Sound Samples

[TimingPoints]
13459,272.727272727273,4,1,0,100,1,0
49459,-100,4,1,0,100,0,1
71277,-100,4,1,0,100,0,0
75640,-100,4,1,0,100,0,1
84368,-100,4,1,0,100,0,0


[HitObjects]
64,bpmchange,210,0,1
64,192,14549,5,0,0:0:0:0:
192,192,14549,1,0,0:0:0:0:
448,192,14686,1,0,0:0:0:0:
320,192,14822,1,0,0:0:0:0:
64,192,14822,1,0,0:0:0:0:
192,192,14959,1,0,0:0:0:0:
320,192,15027,1,0,0:0:0:0:
448,192,15095,1,0,0:0:0:0:
64,192,15095,1,0,0:0:0:0:
192,192,15231,1,0,0:0:0:0:
320,192,15368,1,0,0:0:0:0:
448,192,15368,1,0,0:0:0:0:
64,192,15504,1,0,0:0:0:0:
192,192,15640,1,0,0:0:0:0:
448,192,15640,1,0,0:0:0:0:
320,192,15777,1,0,0:0:0:0:
192,192,15913,1,0,0:0:0:0:
64,192,15913,1,0,0:0:0:0:
448,192,16049,1,0,0:0:0:0:
320,192,16118,1,0,0:0:0:0:
192,192,16186,1,0,0:0:0:0:
64,192,16186,1,0,0:0:0:0:
320,192,16322,1,0,0:0:0:0:
64,192,16459,1,0,0:0:0:0:
448,192,16459,1,0,0:0:0:0:
192,192,16595,1,0,0:0:0:0:
320,192,16731,1,0,0:0:0:0:
448,192,16731,1,0,0:0:0:0:
64,192,16868,1,0,0:0:0:0:
192,192,17004,1,0,0:0:0:0:
448,192,17004,1,0,0:0:0:0:
320,192,17140,1,0,0:0:0:0:
192,192,17209,1,0,0:0:0:0:
64,192,17277,1,0,0:0:0:0:
448,192,17277,1,0,0:0:0:0:
320,192,17413,1,0,0:0:0:0:
64,192,17549,1,0,0:0:0:0:
192,192,17549,1,0,0:0:0:0:
448,192,17686,1,0,0:0:0:0:
320,192,17686,1,0,0:0:0:0:
64,192,17754,1,0,0:0:0:0:
192,192,17754,1,0,0:0:0:0:
320,192,17822,1,0,0:0:0:0:
448,192,17822,1,0,0:0:0:0:
192,192,17890,1,0,0:0:0:0:
64,192,17959,1,0,0:0:0:0:
448,192,18027,1,0,0:0:0:0:
320,192,18095,1,0,0:0:0:0:
192,192,18163,1,0,0:0:0:0:
448,192,18231,1,0,0:0:0:0:
320,192,18299,1,0,0:0:0:0:
192,192,18368,1,0,0:0:0:0:
64,192,18368,1,0,0:0:0:0:
448,192,18436,1,0,0:0:0:0:
320,192,18504,1,0,0:0:0:0:
64,192,18572,1,0,0:0:0:0:
192,192,18640,1,0,0:0:0:0:
320,192,18709,1,0,0:0:0:0:
